driverStandingsId,raceId,driverId,points,position,positionText,wins
13807,45,4,68.0,2,2,3
13808,45,1,70.0,1,1,2
13831,46,1,80.0,1,1,3
13829,46,8,60.0,3,3,3
13854,47,1,84.0,1,1,3
13852,47,8,68.0,4,4,3
13878,48,1,92.0,1,1,3
13876,48,8,74.0,3,3,3
13902,49,1,97.0,1,1,3
13900,49,8,84.0,3,3,4
13926,50,1,107.0,1,1,4
13924,50,8,90.0,3,3,4
13950,51,1,107.0,1,1,4
13948,51,8,100.0,3,3,5
13974,52,1,109.0,2,2,4
17670,2,1,1.0,10,10,0
17730,3,1,4.0,10,10,0
17725,3,8,0.0,16,16,0
17724,3,9,0.0,19,19,0
17723,3,20,10.0,3,3,1
17715,3,4,4.0,8,8,0
17765,4,8,3.0,12,12,0
17764,4,9,0.0,20,20,0
17763,4,20,18.0,3,3,1
17770,4,1,9.0,7,7,0
17755,4,4,5.0,8,8,0
17775,5,4,9.0,8,8,0
17783,5,20,23.0,3,3,1
17784,5,9,0.0,18,18,0
17785,5,8,3.0,13,13,0
17790,5,1,9.0,7,7,0
17950,6,1,9.0,9,9,0
17945,6,8,9.0,8,8,0
17944,6,9,0.0,19,19,0
17943,6,20,23.0,3,3,1
17935,6,4,11.0,7,7,0
17890,7,1,9.0,11,11,0
17885,7,8,9.0,10,10,0
17884,7,9,2.0,15,15,0
17883,7,20,29.0,3,3,1
17875,7,4,11.0,9,9,0
17930,8,1,9.0,11,11,0
17925,8,8,10.0,10,10,0
17924,8,9,2.0,15,15,0
17923,8,20,39.0,3,3,2
17915,8,4,11.0,9,9,0
17955,9,4,13.0,9,9,0
17963,9,20,47.0,2,2,2
17964,9,9,2.0,15,15,0
17965,9,8,10.0,10,10,0
17970,9,1,9.0,11,11,0
17975,10,4,13.0,11,11,0
17983,10,20,47.0,3,3,2
17984,10,9,2.0,15,15,0
17985,10,8,18.0,9,9,0
17990,10,1,19.0,8,8,1
17996,11,4,16.0,11,11,0
18004,11,20,47.0,4,4,2
18005,11,9,3.0,14,14,0
18006,11,8,24.0,7,7,0
18011,11,1,27.0,6,6,1
18019,12,4,16.0,12,12,0
18027,12,20,53.0,3,3,2
18028,12,9,8.0,15,15,0
18029,12,8,34.0,5,5,1
18034,12,1,27.0,7,7,1
18042,13,4,20.0,11,11,0
18050,13,20,54.0,3,3,2
18051,13,9,8.0,15,15,0
18052,13,8,40.0,5,5,1
18057,13,1,27.0,7,7,1
18066,14,4,26.0,8,8,0
18074,14,20,59.0,3,3,2
18075,14,9,9.0,14,14,0
18076,14,8,40.0,5,5,1
18081,14,1,37.0,6,6,2
18129,15,1,43.0,6,6,2
18124,15,8,45.0,5,5,1
18114,15,4,26.0,9,9,0
18122,15,20,69.0,3,3,3
18123,15,9,9.0,14,14,0
18138,16,4,26.0,9,9,0
18146,16,20,74.0,2,2,3
18147,16,9,17.0,13,13,0
18148,16,8,48.0,6,6,1
18153,16,1,49.0,5,5,2
29867,17,4,26.0,9,9,0
29875,17,20,84.0,2,2,4
29876,17,9,17.0,14,14,0
29877,17,8,48.0,6,6,1
29882,17,1,49.0,5,5,2
63737,337,4,25.0,1,1,1
63739,337,1,15.0,3,3,0
63740,337,20,12.0,4,4,0
63747,337,9,0.0,11,11,0
63761,338,4,37.0,1,1,1
63763,338,1,23.0,4,4,0
63764,338,20,12.0,7,7,0
63771,338,9,18.0,6,6,0
63785,339,4,37.0,2,2,1
63787,339,1,31.0,6,6,0
63788,339,20,37.0,3,3,1
63795,339,9,30.0,7,7,0
63809,340,4,49.0,3,3,1
63811,340,1,49.0,4,4,0
63812,340,20,45.0,5,5,1
63819,340,9,40.0,7,7,0
63833,341,4,67.0,2,2,1
63835,341,1,49.0,6,6,0
63836,341,20,60.0,3,3,1
63843,341,9,44.0,8,8,0
63905,343,4,79.0,4,4,1
63883,342,1,59.0,7,7,0
63884,342,20,78.0,2,2,1
63881,342,4,75.0,3,3,1
63891,342,9,59.0,6,6,0
63907,343,1,84.0,3,3,1
63908,343,20,78.0,5,5,1
63915,343,9,67.0,6,6,0
63929,344,4,94.0,4,4,1
63931,344,1,109.0,1,1,2
63932,344,20,90.0,5,5,1
63939,344,9,73.0,7,7,0
63953,345,4,98.0,5,5,1
63955,345,1,127.0,1,1,2
63956,345,20,115.0,3,3,2
63963,345,9,83.0,6,6,0
63977,346,4,98.0,5,5,1
63979,346,1,145.0,1,1,2
63980,346,20,121.0,4,4,2
63987,346,9,83.0,7,7,0
64002,347,4,123.0,5,5,2
64004,347,1,157.0,1,1,2
64005,347,20,136.0,4,4,2
64012,347,9,89.0,7,7,0
64027,348,4,141.0,5,5,2
64029,348,1,157.0,2,2,2
64030,348,20,151.0,3,3,2
64037,348,9,89.0,8,8,0
64052,349,4,141.0,5,5,2
64054,349,1,182.0,1,1,3
64055,349,20,151.0,3,3,2
64062,349,9,104.0,7,7,0
64077,350,4,166.0,3,3,3
64079,350,1,182.0,2,2,3
64080,350,20,163.0,5,5,2
64087,350,9,108.0,8,8,0
64159,351,20,181.0,4,4,2
64166,351,9,114.0,8,8,0
64158,351,1,182.0,3,3,3
64156,351,4,191.0,2,2,4
64193,352,9,114.0,8,8,0
64185,352,1,192.0,4,4,3
64186,352,20,206.0,3,3,3
64183,352,4,206.0,2,2,4
64247,353,9,124.0,7,7,0
64239,353,1,210.0,3,3,3
64240,353,20,206.0,4,4,3
64237,353,4,231.0,1,1,5
64264,354,4,246.0,1,1,5
64266,354,1,222.0,4,4,3
64267,354,20,231.0,3,3,4
64274,354,9,126.0,8,8,0
64291,355,4,252.0,2,2,5
64293,355,1,240.0,4,4,3
64294,355,20,256.0,1,1,5
64301,355,9,136.0,8,8,0
64387,842,4,20.0,5,5,0
64385,842,1,22.0,3,3,0
64384,842,20,50.0,1,1,2
64693,841,4,12.0,4,4,0
64691,841,1,18.0,2,2,0
64690,841,20,25.0,1,1,1
64406,842,815,0.0,20,20,0
64408,843,20,68.0,1,1,2
64409,843,1,47.0,2,2,1
64411,843,4,26.0,5,5,0
64430,843,815,0.0,21,21,0
64432,844,20,93.0,1,1,3
64433,844,1,59.0,2,2,1
64435,844,4,41.0,5,5,0
64454,844,815,0.0,18,18,0
64456,845,20,118.0,1,1,4
64457,845,1,77.0,2,2,1
64459,845,4,51.0,5,5,0
64478,845,815,2.0,14,14,0
64480,846,20,143.0,1,1,5
64481,846,1,85.0,2,2,1
64483,846,4,69.0,5,5,0
64502,846,815,2.0,15,15,0
64504,847,20,161.0,1,1,5
64505,847,1,85.0,4,4,1
64507,847,4,69.0,5,5,0
64526,847,815,2.0,16,16,0
64529,848,20,186.0,1,1,6
64530,848,1,97.0,4,4,1
64532,848,4,87.0,5,5,0
64551,848,815,2.0,16,16,0
64554,849,20,204.0,1,1,6
64555,849,1,109.0,4,4,1
64557,849,4,112.0,3,3,1
64576,849,815,8.0,14,14,0
64579,849,817,0.0,26,26,0
64580,850,20,216.0,1,1,6
64581,850,1,134.0,3,3,2
64583,850,4,130.0,4,4,1
64602,850,815,8.0,14,14,0
64605,850,817,0.0,26,26,0
64607,851,20,234.0,1,1,6
64608,851,1,146.0,3,3,2
64610,851,4,145.0,4,4,1
64629,851,815,8.0,15,15,0
64632,851,817,0.0,26,26,0
64687,852,817,0.0,27,27,0
64684,852,815,8.0,15,15,0
64663,852,1,146.0,5,5,2
64662,852,20,259.0,1,1,7
64665,852,4,157.0,3,3,1
64710,853,20,284.0,1,1,8
64711,853,1,158.0,5,5,2
64713,853,4,172.0,2,2,1
64732,853,815,8.0,16,16,0
64735,853,817,0.0,27,27,0
64738,854,20,309.0,1,1,9
64739,854,1,168.0,5,5,2
64741,854,4,184.0,3,3,1
64760,854,815,9.0,16,16,0
64763,854,817,0.0,27,27,0
64766,855,20,324.0,1,1,9
64767,855,1,178.0,5,5,2
64769,855,4,202.0,3,3,1
64788,855,815,13.0,15,15,0
64791,855,817,0.0,27,27,0
64794,856,20,349.0,1,1,10
64795,856,1,196.0,5,5,2
64797,856,4,212.0,3,3,1
64816,856,815,13.0,16,16,0
64819,856,817,0.0,27,27,0
64822,857,20,374.0,1,1,11
64823,857,1,202.0,5,5,2
64825,857,4,227.0,3,3,1
64844,857,815,14.0,16,16,0
64847,857,817,0.0,27,27,0
64850,858,20,374.0,1,1,11
64851,858,1,227.0,5,5,3
64853,858,4,245.0,3,3,1
64872,858,815,14.0,16,16,0
64875,858,817,0.0,27,27,0
64878,859,20,392.0,1,1,11
64879,859,1,227.0,5,5,3
64881,859,4,257.0,4,4,1
64900,859,815,14.0,16,16,0
64903,859,817,0.0,27,27,0
64984,860,817,2.0,9,9,0
64983,860,815,4.0,8,8,0
64982,860,8,6.0,7,7,0
64980,860,4,10.0,5,5,0
64978,860,1,15.0,3,3,0
64977,860,20,18.0,2,2,0
64929,861,20,18.0,6,6,0
64930,861,1,30.0,2,2,0
64932,861,4,35.0,1,1,1
64934,861,8,16.0,7,7,0
64935,861,815,22.0,5,5,0
64936,861,817,2.0,12,12,0
64953,862,20,28.0,5,5,0
64954,862,1,45.0,1,1,0
64956,862,4,37.0,3,3,1
64958,862,8,16.0,8,8,0
64959,862,815,22.0,7,7,0
64960,862,817,2.0,15,15,0
65001,863,20,53.0,1,1,1
65002,863,1,49.0,2,2,0
65004,863,4,43.0,5,5,1
65006,863,8,34.0,7,7,0
65007,863,815,22.0,9,9,0
65008,863,817,2.0,15,15,0
65025,864,20,61.0,1,1,1
65026,864,1,53.0,3,3,0
65028,864,4,61.0,2,2,1
65030,864,8,49.0,4,4,0
65031,864,815,22.0,10,10,0
65032,864,817,2.0,16,16,0
65049,865,20,73.0,2,2,1
65050,865,1,63.0,4,4,0
65052,865,4,76.0,1,1,1
65054,865,8,51.0,6,6,0
65055,865,815,22.0,10,10,0
65056,865,817,2.0,17,17,0
65073,866,20,85.0,3,3,1
65074,866,1,88.0,1,1,1
65076,866,4,86.0,2,2,1
65078,866,8,55.0,6,6,0
65079,866,815,37.0,9,9,0
65080,866,817,2.0,17,17,0
65097,867,20,85.0,4,4,1
65098,867,1,88.0,3,3,1
65100,867,4,111.0,1,1,2
65102,867,8,73.0,6,6,0
65103,867,815,39.0,9,9,0
65104,867,817,2.0,18,18,0
65121,868,20,100.0,3,3,1
65122,868,1,92.0,4,4,1
65124,868,4,129.0,1,1,2
65126,868,8,83.0,5,5,0
65127,868,815,39.0,9,9,0
65128,868,817,2.0,18,18,0
65196,870,4,164.0,1,1,3
65194,870,1,117.0,4,4,2
65193,870,20,122.0,3,3,1
65169,869,20,110.0,3,3,1
65170,869,1,92.0,5,5,1
65172,869,4,154.0,1,1,3
65174,869,8,98.0,4,4,0
65175,869,815,47.0,9,9,0
65176,869,817,2.0,18,18,0
65198,870,8,116.0,5,5,0
65199,870,815,47.0,9,9,0
65200,870,817,2.0,18,18,0
65217,871,20,140.0,2,2,1
65218,871,1,117.0,5,5,2
65220,871,4,164.0,1,1,3
65222,871,8,131.0,4,4,0
65223,871,815,47.0,9,9,0
65224,871,817,4.0,18,18,0
65241,872,20,140.0,4,4,1
65242,872,1,142.0,2,2,3
65244,872,4,179.0,1,1,3
65246,872,8,141.0,3,3,0
65247,872,815,65.0,9,9,0
65248,872,817,4.0,18,18,0
65346,873,8,149.0,3,3,0
65347,873,815,66.0,9,9,0
65348,873,817,6.0,18,18,0
65344,873,4,194.0,1,1,3
65341,873,20,165.0,2,2,2
65373,874,817,7.0,18,18,0
65366,874,20,190.0,2,2,3
65371,874,8,157.0,3,3,0
65372,874,815,66.0,10,10,0
65369,874,4,194.0,1,1,3
65367,874,1,152.0,4,4,3
65342,873,1,142.0,4,4,3
65391,875,20,215.0,1,1,4
65392,875,1,153.0,4,4,3
65394,875,4,209.0,2,2,3
65396,875,8,167.0,3,3,0
65397,875,815,66.0,10,10,0
65398,875,817,9.0,18,18,0
65416,876,20,240.0,1,1,5
65417,876,1,165.0,5,5,3
65419,876,4,227.0,2,2,3
65421,876,8,173.0,3,3,0
65422,876,815,66.0,10,10,0
65423,876,817,9.0,18,18,0
65441,877,20,255.0,1,1,5
65442,877,1,165.0,5,5,3
65444,877,4,245.0,2,2,3
65446,877,8,198.0,3,3,1
65447,877,815,66.0,10,10,0
65448,877,817,10.0,18,18,0
65466,878,20,273.0,1,1,5
65467,878,1,190.0,4,4,4
65469,878,4,260.0,2,2,3
65471,878,8,206.0,3,3,1
65472,878,815,66.0,10,10,0
65473,878,817,10.0,18,18,0
65491,879,20,281.0,1,1,5
65492,879,1,190.0,4,4,4
65494,879,4,278.0,2,2,3
65496,879,8,207.0,3,3,1
65497,879,815,66.0,10,10,0
65498,879,817,10.0,18,18,0
65515,880,8,25.0,1,1,1
65516,880,4,18.0,2,2,0
65517,880,20,15.0,3,3,0
65519,880,1,10.0,5,5,0
65525,880,815,0.0,11,11,0
65528,880,822,0.0,14,14,0
65533,880,817,0.0,19,19,0
65537,881,8,31.0,2,2,1
65538,881,4,18.0,6,6,0
65539,881,20,40.0,1,1,1
65541,881,1,25.0,4,4,0
65547,881,815,2.0,12,12,0
65550,881,822,0.0,15,15,0
65555,881,817,0.0,21,21,0
65559,882,8,49.0,2,2,1
65560,882,4,43.0,3,3,1
65561,882,20,52.0,1,1,1
65563,882,1,40.0,4,4,0
65569,882,815,2.0,14,14,0
65572,882,822,0.0,16,16,0
65577,882,817,6.0,11,11,0
65581,883,8,67.0,2,2,1
65582,883,4,47.0,4,4,1
65583,883,20,77.0,1,1,2
65585,883,1,50.0,3,3,0
65591,883,815,10.0,11,11,0
65594,883,822,0.0,16,16,0
65599,883,817,6.0,13,13,0
65643,884,817,7.0,12,12,0
65638,884,822,0.0,17,17,0
65629,884,1,50.0,4,4,0
65627,884,20,89.0,1,1,2
65626,884,4,72.0,3,3,2
65625,884,8,85.0,2,2,1
65635,884,815,12.0,11,11,0
65647,885,8,86.0,2,2,1
65648,885,4,78.0,3,3,2
65649,885,20,107.0,1,1,2
65651,885,1,62.0,4,4,0
65657,885,815,12.0,12,12,0
65660,885,822,0.0,17,17,0
65665,885,817,7.0,13,13,0
65669,886,8,88.0,3,3,1
65670,886,4,96.0,2,2,2
65671,886,20,132.0,1,1,3
65673,886,1,77.0,4,4,0
65679,886,815,12.0,13,13,0
65682,886,822,0.0,17,17,0
65687,886,817,7.0,14,14,0
65731,887,817,11.0,14,14,0
65715,887,20,132.0,1,1,3
65717,887,1,89.0,4,4,0
65726,887,822,0.0,17,17,0
65713,887,8,98.0,3,3,1
65714,887,4,111.0,2,2,2
65723,887,815,12.0,13,13,0
65735,888,8,116.0,3,3,1
65736,888,4,123.0,2,2,2
65737,888,20,157.0,1,1,4
65739,888,1,99.0,4,4,0
65745,888,815,16.0,12,12,0
65748,888,822,0.0,17,17,0
65753,888,817,11.0,14,14,0
65757,890,8,134.0,2,2,1
65758,890,4,133.0,3,3,2
65759,890,20,172.0,1,1,4
65761,890,1,124.0,4,4,1
65767,890,815,18.0,12,12,0
65770,890,822,0.0,17,17,0
65775,890,817,11.0,14,14,0
65779,891,8,134.0,4,4,1
65780,891,4,151.0,2,2,2
65781,891,20,197.0,1,1,5
65783,891,1,139.0,3,3,1
65789,891,815,18.0,12,12,0
65792,891,822,0.0,17,17,0
65797,891,817,12.0,14,14,0
65801,892,8,134.0,4,4,1
65802,892,4,169.0,2,2,2
65803,892,20,222.0,1,1,6
65805,892,1,141.0,3,3,1
65811,892,815,18.0,12,12,0
65814,892,822,0.0,17,17,0
65819,892,817,18.0,13,13,0
65823,893,8,149.0,4,4,1
65824,893,4,187.0,2,2,2
65825,893,20,247.0,1,1,7
65827,893,1,151.0,3,3,1
65833,893,815,22.0,12,12,0
65836,893,822,0.0,18,18,0
65841,893,817,18.0,14,14,0
65845,894,8,167.0,3,3,1
65846,894,4,195.0,2,2,2
65847,894,20,272.0,1,1,8
65849,894,1,161.0,4,4,1
65855,894,815,23.0,13,13,0
65858,894,822,0.0,18,18,0
65863,894,817,18.0,14,14,0
65867,895,8,177.0,3,3,1
65868,895,4,207.0,2,2,2
65869,895,20,297.0,1,1,9
65871,895,1,161.0,4,4,1
65877,895,815,23.0,13,13,0
65880,895,822,0.0,18,18,0
65885,895,817,18.0,14,14,0
65889,896,8,183.0,3,3,1
65890,896,4,207.0,2,2,2
65891,896,20,322.0,1,1,10
65893,896,1,169.0,4,4,1
65899,896,815,33.0,12,12,0
65902,896,822,0.0,18,18,0
65907,896,817,19.0,14,14,0
65911,897,8,183.0,3,3,1
65912,897,4,217.0,2,2,2
65913,897,20,347.0,1,1,11
65915,897,1,175.0,4,4,1
65921,897,815,35.0,12,12,0
65924,897,822,0.0,18,18,0
65929,897,817,19.0,14,14,0
65933,898,8,183.0,4,4,1
65934,898,4,227.0,2,2,2
65935,898,20,372.0,1,1,12
65937,898,1,187.0,3,3,1
65943,898,815,41.0,12,12,0
65946,898,822,4.0,17,17,0
65951,898,817,19.0,14,14,0
65956,899,8,183.0,5,5,1
65957,899,4,242.0,2,2,2
65958,899,20,397.0,1,1,13
65960,899,1,189.0,4,4,1
65966,899,815,49.0,11,11,0
65969,899,822,4.0,17,17,0
65974,899,817,20.0,14,14,0
66630,900,20,0.0,18,18,0
66616,900,4,12.0,4,4,0
66617,900,822,10.0,5,5,0
66619,900,8,6.0,7,7,0
66631,900,1,0.0,19,19,0
66622,900,815,1.0,10,10,0
66634,900,817,0.0,22,22,0
66638,901,4,24.0,3,3,0
66639,901,822,14.0,8,8,0
66641,901,8,6.0,9,9,0
66644,901,815,1.0,13,13,0
66652,901,20,15.0,7,7,0
66653,901,1,25.0,2,2,1
66656,901,817,0.0,22,22,0
66660,902,4,26.0,4,4,0
66661,902,822,18.0,8,8,0
66663,902,8,7.0,12,12,0
66666,902,815,16.0,9,9,0
66674,902,20,23.0,6,6,0
66675,902,1,50.0,2,2,2
66678,902,817,12.0,10,10,0
66682,903,4,41.0,3,3,0
66683,903,822,24.0,7,7,0
66685,903,8,11.0,12,12,0
66688,903,815,18.0,10,10,0
66696,903,20,33.0,5,5,0
66697,903,1,75.0,2,2,3
66700,903,817,24.0,6,6,0
66704,904,4,49.0,3,3,0
66705,904,822,34.0,7,7,0
66707,904,8,17.0,11,11,0
66710,904,815,20.0,10,10,0
66718,904,20,45.0,4,4,0
66719,904,1,100.0,1,1,4
66722,904,817,39.0,5,5,0
66726,905,4,61.0,3,3,0
66727,905,822,34.0,7,7,0
66729,905,8,17.0,12,12,0
66732,905,815,20.0,10,10,0
66740,905,20,45.0,6,6,0
66741,905,1,118.0,2,2,4
66744,905,817,54.0,4,4,0
66748,906,4,69.0,4,4,0
66749,906,822,40.0,8,8,0
66751,906,8,18.0,12,12,0
66754,906,815,20.0,10,10,0
66762,906,20,60.0,5,5,0
66763,906,1,118.0,2,2,4
66766,906,817,79.0,3,3,1
66770,907,4,79.0,4,4,0
66771,907,822,55.0,7,7,0
66773,907,8,19.0,12,12,0
66776,907,815,28.0,11,11,0
66784,907,20,60.0,5,5,0
66785,907,1,136.0,2,2,4
66788,907,817,83.0,3,3,1
66792,908,4,87.0,4,4,0
66793,908,822,73.0,5,5,0
66795,908,8,19.0,12,12,0
66798,908,815,28.0,11,11,0
66806,908,20,70.0,6,6,0
66807,908,1,161.0,2,2,5
66810,908,817,98.0,3,3,1
66814,909,4,97.0,4,4,0
66815,909,822,91.0,5,5,0
66817,909,8,19.0,12,12,0
66820,909,815,29.0,11,11,0
66828,909,20,82.0,6,6,0
66829,909,1,176.0,2,2,5
66832,909,817,106.0,3,3,1
66836,910,4,115.0,4,4,0
66837,910,822,95.0,5,5,0
66839,910,8,27.0,12,12,0
66842,910,815,29.0,11,11,0
66850,910,20,88.0,6,6,0
66851,910,1,191.0,2,2,5
66854,910,817,131.0,3,3,2
66858,911,4,121.0,4,4,0
66859,911,822,110.0,5,5,0
66861,911,8,39.0,10,10,0
66864,911,815,33.0,12,12,0
66872,911,20,98.0,6,6,0
66873,911,1,191.0,2,2,5
66876,911,817,156.0,3,3,3
66881,912,4,121.0,5,5,0
66882,912,822,122.0,4,4,0
66884,912,8,41.0,10,10,0
66887,912,815,39.0,11,11,0
66895,912,20,106.0,6,6,0
66896,912,1,216.0,2,2,6
66899,912,817,166.0,3,3,3
66904,913,4,133.0,4,4,0
66905,913,822,122.0,6,6,0
66907,913,8,45.0,11,11,0
66910,913,815,45.0,10,10,0
